stock_code,short_name,board,status,yaml_financial,eval_financial,schema_profile,profile_schema_profile,field_count,found_count,proxy_plausible_count,proxy_plausible_ratio,source_url,suspicion_flags
601916,浙商银行,sse_main,ok,True,True,bank,bank,13,7,7,0.5385,http://static.cninfo.com.cn/finalpage/2025-03-29/1222947811.PDF,
601939,建设银行,sse_main,ok,True,True,bank,bank,13,8,8,0.6154,http://static.cninfo.com.cn/finalpage/2025-03-29/1222940501.PDF,
601963,重庆银行,sse_main,ok,True,True,bank,bank,13,2,2,0.1538,http://static.cninfo.com.cn/finalpage/2025-03-22/1222868927.PDF,explicit_review;very_low_proxy
601988,中国银行,sse_main,ok,True,True,bank,bank,13,12,12,0.9231,http://static.cninfo.com.cn/finalpage/2025-03-27/1222911241.PDF,
601990,南京证券,sse_main,ok,True,True,broker,broker,12,8,8,0.6667,http://static.cninfo.com.cn/finalpage/2025-03-22/1222866049.PDF,
601997,贵阳银行,sse_main,ok,True,True,bank,bank,13,13,13,1.0,http://static.cninfo.com.cn/finalpage/2025-04-29/1223385076.PDF,
601998,中信银行,sse_main,ok,True,True,bank,bank,13,9,9,0.6923,http://static.cninfo.com.cn/finalpage/2025-03-27/1222911392.PDF,
603093,南华期货,sse_main,ok,True,True,other_financial,other_financial,8,6,6,0.75,http://static.cninfo.com.cn/finalpage/2025-03-11/1222760325.PDF,
603323,苏农银行,sse_main,ok,True,True,bank,bank,13,12,12,0.9231,http://static.cninfo.com.cn/finalpage/2025-04-30/1223422525.PDF,
000001,平安银行,szse_main,ok,True,True,bank,bank,13,10,10,0.7692,http://static.cninfo.com.cn/finalpage/2025-03-15/1222806505.PDF,
000402,金融街,szse_main,ok,True,True,broker,broker,12,5,5,0.4167,http://static.cninfo.com.cn/finalpage/2025-04-29/1223369949.PDF,explicit_review;possible_real_estate_as_broker
000562,宏源证券,szse_main,no_announcement,True,True,unknown,unknown,0,0,0,0.0,,schema_missing_or_unknown;status_no_announcement
000686,东北证券,szse_main,ok,True,True,broker,broker,12,9,9,0.75,http://static.cninfo.com.cn/finalpage/2025-04-26/1223313324.PDF,
000728,国元证券,szse_main,ok,True,True,broker,broker,12,10,10,0.8333,http://static.cninfo.com.cn/finalpage/2025-04-15/1223096099.PDF,
000750,国海证券,szse_main,ok,True,True,broker,broker,12,9,9,0.75,http://static.cninfo.com.cn/finalpage/2025-03-29/1222948083.PDF,
000776,广发证券,szse_main,ok,True,True,broker,broker,12,10,10,0.8333,http://static.cninfo.com.cn/finalpage/2025-03-29/1222949775.PDF,
000783,长江证券,szse_main,ok,True,True,broker,broker,12,6,6,0.5,http://static.cninfo.com.cn/finalpage/2025-04-29/1223376019.PDF,
001227,兰州银行,szse_main,ok,True,True,bank,bank,13,12,12,0.9231,http://static.cninfo.com.cn/finalpage/2025-04-28/1223317422.PDF,
001236,弘业期货,szse_main,ok,True,True,other_financial,other_financial,8,5,5,0.625,http://static.cninfo.com.cn/finalpage/2025-03-29/1222945586.PDF,
002142,宁波银行,szse_main,ok,True,True,bank,bank,13,9,9,0.6923,http://static.cninfo.com.cn/finalpage/2025-04-10/1223045151.PDF,
002500,山西证券,szse_main,ok,True,True,broker,broker,12,11,11,0.9167,http://static.cninfo.com.cn/finalpage/2025-04-26/1223320856.PDF,
002670,国盛证券,szse_main,ok,True,True,broker,broker,12,11,11,0.9167,http://static.cninfo.com.cn/finalpage/2025-04-22/1223190472.PDF,
002673,西部证券,szse_main,ok,True,True,broker,broker,12,11,11,0.9167,http://static.cninfo.com.cn/finalpage/2025-04-24/1223244113.PDF,
002736,国信证券,szse_main,ok,True,True,broker,broker,12,9,9,0.75,http://static.cninfo.com.cn/finalpage/2025-04-19/1223150227.PDF,
002807,江阴银行,szse_main,ok,True,True,bank,bank,13,9,9,0.6923,http://static.cninfo.com.cn/finalpage/2025-03-29/1222944062.PDF,
002926,华西证券,szse_main,ok,True,True,broker,broker,12,11,11,0.9167,http://static.cninfo.com.cn/finalpage/2025-04-25/1223280250.PDF,
002936,郑州银行,szse_main,ok,True,True,bank,bank,13,7,7,0.5385,http://static.cninfo.com.cn/finalpage/2025-03-28/1222927745.PDF,
002939,长城证券,szse_main,ok,True,True,broker,broker,12,7,6,0.5,http://static.cninfo.com.cn/finalpage/2025-04-29/1223373827.PDF,
002945,华林证券,szse_main,ok,True,True,broker,broker,12,10,10,0.8333,http://static.cninfo.com.cn/finalpage/2025-03-29/1222946837.PDF,
002948,青岛银行,szse_main,ok,True,True,bank,bank,13,9,9,0.6923,http://static.cninfo.com.cn/finalpage/2025-03-27/1222910658.PDF,
002958,青农商行,szse_main,ok,True,True,bank,bank,13,11,11,0.8462,http://static.cninfo.com.cn/finalpage/2025-04-25/1223278983.PDF,
002961,瑞达期货,szse_main,ok,True,True,other_financial,other_financial,8,5,5,0.625,http://static.cninfo.com.cn/finalpage/2025-04-23/1223216519.PDF,
002966,苏州银行,szse_main,ok,True,True,bank,bank,13,10,10,0.7692,http://static.cninfo.com.cn/finalpage/2025-04-29/1223374198.PDF,
